Company Name,Brand Name,Model,Series,Product Type,Screen Type,Screen Size,Screen Area (sq. inches),Resolution,Auto- matic Bright- ness Control?,Is Automatic Brightness Control enabled by default when Television is shipped?,On Mode Power (watts),Maximum On Mode Power for Qual- ification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power for Qual- ification (watts),Lum- inance in Default Mode as Shipped (cd/m2),Lum- inance in Brightest Selectable Preset Mode (cd/m2),Average Download Acqui- sition Mode (DAM) Energy (Wh/day),Maximum DAM Energy for Qual- ification (Wh/ day), Typical Electricity Con- sumption (TEC) for Hospitality TVs (W-h/day),Maxi- mum Allowed TEC for Hospi- tality TVs (W-h/day),Estimated Annual Energy Con- sumption (kWh/ year),Date Qualified
"Samsung Electronics Co., Ltd.",Samsung,UN40D6450UF,UN40D6450UF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,67,,0.09,1,288,312,N/A,,,,122.899,07/14/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN26D450G1D,LN26D450G1D,Television (TV),LCD,26,289,1366 x 768,No,No,42.2,,0.12,1,274,345,N/A,,,,77.8472,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6050TF,UN46D6050TF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,67.2,,0.07,1,245,245,N/A,,,,123.12545,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51E6500EF,PN51E6500EF,Television (TV),Plasma,51,1095,1920 x 1080,Yes,Yes,107.5,108,0.1,1,59,81,N/A,,,,196.88,02/10/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL51E530A3F,PL51E530A3F,Television (TV),Plasma,51,1095,1920 x 1080,Yes,Yes,105,108,0.2,1,69,105,N/A,,,,192.32,02/10/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL43D491A4D,PL43D491A4D,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,82.8,85,0.24,1,66,95,N/A,,,,152.7744,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,T27A550,T27A550,Television (TV),LCD,27,311,1920 x 1080,No,No,35.5,44.3,0.11,1,270,280,N/A,,,,65.55035,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D5550RF,UN40D5550RF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,45,75.4,0.18,1,308,317,N/A,,,,83.3733,02/10/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6420UF,UN46D6420UF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,64.2,93.9,0.09,1,296,360,N/A,,,,117.78915,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40EH5050F,UN40EH5050F,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,35,75.4,0.2,1,220,306,N/A,,,,65262,12/15/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32EH5000F,UN32EH5000F,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,33,53.7,0.2,1,256,360,N/A,,,,61612,12/15/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51E490B4F,PN51E490B4F,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,105,108,0.2,1,71,91,N/A,,,,193012,01/03/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46EH6000F,UN46EH6000F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,50,93.9,0.2,1,216,299,N/A,,,,92637,12/27/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32EH4000F,UN32EH4000F,Television (TV),LCD,32,424,1366 x 768,No,No,29,53.6,0.2,1,188,266,N/A,,,,54312,12/16/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES6500F,UN55ES6500F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,58,108,0.1,1,305,418,N/A,,,,106.54,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40ES6820F,UN40ES6820F,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,50.1,75.4,0.1,1,218,295,N/A,,,,91.94,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES8000F,UN55ES8000F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,82,108,0.1,1,377,488,N/A,,,,150.34,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46ES6820F,UN46ES6820F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,54,93.9,0.1,1,248,336,N/A,,,,99.24,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46ES6600F,UN46ES6600F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,54,93.9,0.1,1,248,336,N/A,,,,99.24,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN60D6000SF,UN60D6000SF,Television (TV),LCD,60,1540,1920 x 1080,Yes,Yes,84,108,0.06,1,321,353,N/A,,,,153.72,05/26/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,T23A550,T23A550,Television (TV),LCD,23,228,1920 x 1080,No,No,28.8,34.6,0.11,1,215,223,N/A,,,,53.32285,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D7000LF,UN46D7000LF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,74.7,93.9,0.06,1,387,423,N/A,,,,136.7436,02/28/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6420UF,UN46D6420UF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,73.5,,0.09,1,256,281,N/A,,,,134.762,07/06/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6420UF,UN46D6420UF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,67,,0.09,1,288,312,N/A,,,,122.899,07/14/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN32D450G1D,LN32D450G1D,Television (TV),LCD,32,424,1366 x 768,No,No,53.5,,0.14,1,304,363,N/A,,,,98.6084,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6000SF,UN46D6000SF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,67.2,,0.07,1,245,245,N/A,,,,123.12545,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6300SF,UN40D6300SF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,58.3,,0.07,1,260,263,N/A,,,,106.88295,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6420UF,UN40D6420UF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,58.9,75.4,0.09,1,289,353,N/A,,,,108.11665,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6400UF,UN46D6400UF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,64.2,93.9,0.09,1,296,360,N/A,,,,117.78915,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46EH5050F,UN46EH5050F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,42,93.9,0.2,1,218,299,N/A,,,,78037,12/15/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D4000ND,UN32D4000ND,Television (TV),LCD,32,424,1366 x 768,No,No,35.4,53.6,0.2,1,306,315,N/A,,,,65.992,09/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46ES6150F,UN46ES6150F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,49,93.9,0.1,1,209,289,N/A,,,,90.12,02/05/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46ES7500F,UN46ES7500F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,76,93.9,0.1,1,409,508,N/A,,,,139.39,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES7500F,UN55ES7500F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,82,108,0.1,1,377,488,N/A,,,,150.34,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN40D560F9H,LN40D560F9H,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,66.1,75.4,0.66,1,330,407,N/A,,,,125.21,03/29/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN37D560F9H,LN37D560F9H,Television (TV),LCD,37,585,1920 x 1080,Yes,Yes,57.7,67.2,0.5,1,394,449,N/A,,,,108.77,03/29/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN60D6400UF,UN60D6400UF,Television (TV),LCD,60,1540,1920 x 1080,Yes,Yes,87.4,108,0.08,1,327,359,N/A,,,,160.06,05/26/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN60D6450UF,UN60D6450UF,Television (TV),LCD,60,1540,1920 x 1080,Yes,Yes,87.4,108,0.08,1,327,359,N/A,,,,160.06,05/26/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D5500RH,UN40D5500RH,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,52,75.4,0.23,1,244,336,N/A,,,,96.49,04/13/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D5500RH,UN32D5500RH,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,44.6,53.7,0.31,1,326,359,N/A,,,,83.54,04/13/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D6500VF,UN55D6500VF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,84.6,108,0.07,1,368,369,N/A,,,,154.88045,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,T24A550,T24A550,Television (TV),LCD,24,246,1920 x 1080,No,No,27,37.2,0.11,1,223,234,N/A,,,,50.03785,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D7000LF,UN55D7000LF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,80.4,108,0.06,1,325,354,N/A,,,,147.1461,02/28/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D7050LF,UN46D7050LF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,74.7,93.9,0.06,1,387,423,N/A,,,,136.7436,02/28/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6450UF,UN46D6450UF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,73.5,,0.09,1,256,281,N/A,,,,134.762,07/06/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6400UF,UN46D6400UF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,73.5,,0.09,1,256,281,N/A,,,,134.762,07/06/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D8000YF,UN55D8000YF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,82.3,,0.09,1,338,371,N/A,,,,150.82165,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D8000YF,UN46D8000YF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,73.6,,0.09,1,383,418,N/A,,,,134.94415,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN32D550K1F,LN32D550K1F,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,41.5,,0.14,1,278,322,N/A,,,,76.7084,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL43E450A1F,PL43E450A1F,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,84,85,0.2,1,72,89,N/A,,,,154.687,01/16/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL51E450A1F,PL51E450A1F,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,102,108,0.2,1,68,94,N/A,,,,187.537,01/16/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D6003SF,UN55D6003SF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,80.3,108,0.09,1,300,311,N/A,,,,147171.65,12/21/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL51D451A3D,PL51D451A3D,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,107.6,108,0.68,1,57,79,N/A,,,,201.0858,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51D450A2D,PN51D450A2D,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,107.6,108,0.68,1,57,79,N/A,,,,201.0858,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,T22A350,T22A350,Television (TV),LCD,22,198,1920 x 1080,No,No,26.8,30.9,0.12,1,234,242,N/A,,,,49.7422,02/28/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D7500XF,UN55D7500XF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,80.4,108,0.06,1,325,354,N/A,,,,147.1461,02/28/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES7550F,UN55ES7550F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,82,108,0.1,1,377,488,N/A,,,,150.34,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES6100F,UN55ES6100F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,53,108,0.1,1,266,364,N/A,,,,97.42,02/07/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES6150F,UN55ES6150F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,53,108,0.1,1,266,364,N/A,,,,97.42,02/07/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40ES6150F,UN40ES6150F,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,48,75.4,0.1,1,218,302,N/A,,,,88.29,02/05/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51D430A3D,PN51D430A3D,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,107.6,108,0.68,1,57,79,N/A,,,,201.09,03/28/2012 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN46D567F9H,LN46D567F9H,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,73.7,75.4,0.5,1,403,477,N/A,,,,137.97,04/13/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN43D440A5D,PN43D440A5D,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,83.2,85,0.68,1,67,94,N/A,,,,156.5558,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL43D451A3D,PL43D451A3D,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,83.2,85,0.68,1,67,94,N/A,,,,156.5558,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN60D7000VF,UN60D7000VF,Television (TV),LCD,60,1540,1920 x 1080,Yes,Yes,105.4,108,0.07,1,384,422,N/A,,,,192.84,05/26/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN60D8000YF,UN60D8000YF,Television (TV),LCD,60,1540,1920 x 1080,Yes,Yes,91.5,108,0.07,1,360,392,N/A,,,,167.47,05/26/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN32D467E1H,LN32D467E1H,Television (TV),LCD,32,424,1366 x 768,No,No,52.9,53.6,0.67,1,301,418,N/A,,,,101.19,04/20/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN46D610J2F,LN46D610J2F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,91.9,93.9,0.1,1,294,406,N/A,,,,168.41,04/15/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN46D630M3F,LN46D630M3F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,91.9,93.9,0.1,1,294,406,N/A,,,,168.41,04/15/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D6900WF,UN55D6900WF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,84.6,108,0.07,1,368,369,N/A,,,,154.88045,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D7500XF,UN46D7500XF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,74.7,93.9,0.06,1,387,423,N/A,,,,136.7436,02/28/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6000SF,UN40D6000SF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,58.3,,0.07,1,260,263,N/A,,,,106.88295,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN40D560F9H,LN40D560F9H,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,63,75.4,0.66,1,330,407,N/A,,,,119.552,07/21/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN22D5000NF,UN22D5000NF,Television (TV),LCD,22,198,1920 x 1080,No,No,26.3,,0.13,1,230,238,N/A,,,,48.89905,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D5500RF,UN40D5500RF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,45,,0.18,1,308,317,N/A,,,,83.3733,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL60E550D1F,PL60E550D1F,Television (TV),Plasma,60,1563,1920 x 1080,Yes,Yes,106,108,0.1,1,56,79,N/A,,,,194.14,02/10/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51E440A2F,PN51E440A2F,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,102,108,0.2,1,68,94,N/A,,,,187.537,01/16/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51D490A1D,PN51D490A1D,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,107.7,108,0.12,1,61,81,N/A,,,,197.3847,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL43D490A1D,PL43D490A1D,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,82.8,85,0.24,1,66,95,N/A,,,,152.7744,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D5500RF,UN32D5500RF,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,36.5,53.7,0.14,1,330,343,N/A,,,,67.5834,02/10/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6450UF,UN40D6450UF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,58.9,75.4,0.09,1,289,353,N/A,,,,108.11665,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6500VF,UN40D6500VF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,58.9,75.4,0.09,1,289,353,N/A,,,,108.11665,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6500VF,UN46D6500VF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,64.2,93.9,0.09,1,296,360,N/A,,,,117.78915,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46EH5000F,UN46EH5000F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,42,93.9,0.2,1,218,299,N/A,,,,78037,12/15/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40EH5000F,UN40EH5000F,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,35,75.4,0.2,1,220,306,N/A,,,,65262,12/15/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN60EH6000F,UN60EH6000F,Television (TV),LCD,60,1540,1920 x 1080,Yes,Yes,70,108,0.2,1,238,324,N/A,,,,129137,01/03/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL51E490B1F,PL51E490B1F,Television (TV),Plasma,51,1095,1366 x 768,Yes,Yes,105,108,0.2,1,71,91,N/A,,,,193012,01/03/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55EH6000F,UN55EH6000F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,58,108,0.2,1,206,285,N/A,,,,107237,12/27/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,T27B350ND,T27B350ND,Television (TV),LCD,27,313,1920 x 1080,No,No,38.7,44.3,0.23,1,232.7,311.6,N/A,,,,72.22,02/13/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55ES6550F,UN55ES6550F,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,58,108,0.1,1,305,418,N/A,,,,106.54,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46ES7550F,UN46ES7550F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,76,93.9,0.1,1,409,508,N/A,,,,139.39,02/06/2012 08:00:00 AM +0000
Vizio Inc.,VIZIO,E221VA,E221VA,Television (TV),LCD,22,199,1920 x 1080,Yes,Yes,23.7,30.9,0.4,1,184,245,N/A,,,,46,01/20/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46ES6850F,UN46ES6850F,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,54,93.9,0.1,1,248,336,N/A,,,,99.24,02/06/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN26D460E1H,LN26D460E1H,Television (TV),LCD,26,289,1366 x 768,No,No,41.6,42.3,0.5,1,270,372,N/A,,,,79.39,03/29/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN43D490A1D,PN43D490A1D,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,82.8,85,0.24,1,66,95,N/A,,,,152.7744,08/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,HE46A,HE46A,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,52.5,93.9,0.12,1,271,279,N/A,,,,96.65,05/24/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D7050XF,UN55D7050XF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,81.6,108,0.07,1,354,385,N/A,,,,149.4,04/28/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN26D467E1H,LN26D467E1H,Television (TV),LCD,26,289,1366 x 768,No,No,41.6,42.3,0.5,1,270,372,N/A,,,,79.39,03/29/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D6420UF,UN55D6420UF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,84.6,108,0.07,1,368,369,N/A,,,,154.88045,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D6450UF,UN55D6450UF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,84.6,108,0.07,1,368,369,N/A,,,,154.88045,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,ME40A,ME40A,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,52.7,,0.35,1,227,270,N/A,,,,98.605,06/16/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D7900XF,UN55D7900XF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,82.3,,0.09,1,338,371,N/A,,,,150.82165,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,LN40D568F9H,LN40D568F9H,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,63,75.4,0.66,1,330,407,N/A,,,,119.552,07/21/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN27D5000NF,UN27D5000NF,Television (TV),LCD,27,311,1920 x 1080,No,No,35.6,,0.11,1,286,294,N/A,,,,65.73285,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN22D5010NF,UN22D5010NF,Television (TV),LCD,22,198,1920 x 1080,No,No,26.3,,0.13,1,230,238,N/A,,,,48.89905,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6400UF,UN40D6400UF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,67,,0.09,1,288,312,N/A,,,,122.899,07/14/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D5550RF,UN32D5550RF,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,36.5,,0.14,1,330,343,N/A,,,,67.5834,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D5500RF,UN32D5500RF,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,36.5,,0.14,1,330,343,N/A,,,,67.5834,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,HE40A,HE40A,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,45,,0.18,1,308,317,N/A,,,,83.3733,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D4000ND,UN32D4000ND,Television (TV),LCD,32,424,1366 x 768,No,No,29.5,,0.2,1,199,210,N/A,,,,55.2245,07/08/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN55D6000SF,UN55D6000SF,Television (TV),LCD,55,1276,1920 x 1080,Yes,Yes,80.8,,0.07,1,339,339,N/A,,,,147.94545,07/07/2011 07:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PL51E6500EF,PL51E6500EF,Television (TV),Plasma,51,1095,1920 x 1080,Yes,Yes,107.5,108,0.1,1,59,81,N/A,,,,196.88,02/10/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN51E550D1F,PN51E550D1F,Television (TV),Plasma,51,1095,1920 x 1080,Yes,Yes,105,108,0.1,1,56,72,N/A,,,,192.32,02/10/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,PN43E450A1F,PN43E450A1F,Television (TV),Plasma,43,798,1366 x 768,Yes,Yes,84,85,0.2,1,72,89,N/A,,,,154.687,01/16/2012 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN32D5550RF,UN32D5550RF,Television (TV),LCD,32,425,1920 x 1080,Yes,Yes,36.5,53.7,0.14,1,330,343,N/A,,,,67.5834,02/10/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN40D6400UF,UN40D6400UF,Television (TV),LCD,40,684,1920 x 1080,Yes,Yes,58.9,75.4,0.09,1,289,353,N/A,,,,108.11665,03/02/2011 08:00:00 AM +0000
"Samsung Electronics Co., Ltd.",Samsung,UN46D6900WF,UN46D6900WF,Television (TV),LCD,46,904,1920 x 1080,Yes,Yes,64.2,93.9,0.09,1,296,360,N/A,,,,117.78915,03/02/2011 08:00:00 AM +0000
