Company Name,Brand Name,Model,Series,Product Type,Screen Type,Screen Size,Screen Area (sq. inches),Resolution,Auto- matic Bright- ness Control?,Is Automatic Brightness Control enabled by default when Television is shipped?,On Mode Power (watts),Maximum On Mode Power for Qual- ification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power for Qual- ification (watts),Lum- inance in Default Mode as Shipped (cd/m2),Lum- inance in Brightest Selectable Preset Mode (cd/m2),Average Download Acqui- sition Mode (DAM) Energy (Wh/day),Maximum DAM Energy for Qual- ification (Wh/ day), Typical Electricity Con- sumption (TEC) for Hospitality TVs (W-h/day),Maxi- mum Allowed TEC for Hospi- tality TVs (W-h/day),Estimated Annual Energy Con- sumption (kWh/ year),Date Qualified
EA Digitech Limited,CALYPSO,ELH-185T7CAT,ELH-185T7CAT,Television (TV),LED,19,146,1366 x 768,No,No,15.1,24.02,0.131,1,87.5,109.7,N/A,,,,28.47,03/19/2012 07:00:00 AM +0000
EA Digitech Limited,CALYPSO,ELH-230T7CAT,ELH-230T7CAT,Television (TV),LED,23,227,1920 x 1080,No,No,28.62,34.46,0.18,1,93.8,125.5,N/A,,,,53.44,03/19/2012 07:00:00 AM +0000
EA Digitech Limited,CALYPSO,CLP-24LE110,CLP-24LE110,Television (TV),LED,23,227,1920 x 1080,No,No,28.62,34.46,0.18,1,93.8,125.5,N/A,,,,53.44,03/19/2012 07:00:00 AM +0000
EA Digitech Limited,ALLEGRA,ALG-24LEDVD,ALG-24LEDVD,Television (TV),LED,23,227,1920 x 1080,No,No,33.9,34.46,0.193,1,94.6,127.1,N/A,,,,63.21,03/19/2012 07:00:00 AM +0000
"LG Electronics, Inc.",LG,47LW56##,47LW56##-##,Television (TV),LCD,47,943,1920 X 1080,Yes,Yes,71,97.2,0.1,1,250,310,N/A,,,,130,01/06/2012 08:00:00 AM +0000
EA Digitech Limited,ALLEGRA,ELH-230T7CAD,ELH-230T7CAD,Television (TV),LED,23,227,1920 x 1080,No,No,33.9,34.46,0.193,1,94.6,127.1,N/A,,,,63.21,03/19/2012 07:00:00 AM +0000
"Envision Peripherals, Inc.",AOC,LE22H168,LE22H168,Television (TV),LCD,22,199,1920 x 1080,No,No,29.3,30.9,0.5,1,184,238,N/A,,,,56.9,09/26/2011 07:00:00 AM +0000
"Envision Peripherals, Inc.",AOC,LE24H168,LE24H168,Television (TV),LCD,24,247,1920 x 1080,No,No,30.5,37.1,0.4,1,166,188,N/A,,,,58.4,09/26/2011 07:00:00 AM +0000
"Funai Corporation, Inc.",Magnavox,LCD Color TV,26ME402V/F7,Television (TV),LCD,26,291,1366 x 768,No,No,20.9,42,0.244,1,210,253,N/A,,,,39.835,11/01/2011 07:00:00 AM +0000
"Funai Corporation, Inc.",Emerson,LCD Color TV,LE190EM3,Television (TV),LCD,19,146,1366 x 768,No,No,16.1,23,0.263,1,115,143,N/A,,,,31206,12/15/2011 08:00:00 AM +0000
"Funai Corporation, Inc.",Magnavox,LCD Color TV,19ME402V/F7,Television (TV),LCD,19,146,1366 x 768,No,No,16.1,23,0.263,1,115,143,N/A,,,,31.206,12/02/2011 08:00:00 AM +0000
"Funai Corporation, Inc.",Magnavox,LCD COLOR TV,19ME601B/F7,Television (TV),LCD,19,146,1366 x 768,No,No,14.7,25.2,0.261,1,152,203,N/A,,,,28.638,03/15/2011 07:00:00 AM +0000
"Funai Corporation, Inc.",Magnavox,LCD COLOR TV,22ME601B/F7,Television (TV),LCD,22,199,1366 x 768,No,No,15.4,31.9,0.262,1,168,218,N/A,,,,29.922,03/14/2011 07:00:00 AM +0000
"Funai Corporation, Inc.",Magnavox,LCD Color TV,32ME402V/F7,Television (TV),LCD,32,424,1366 x 768,No,No,31.6,31.6,0.251,1,189,241,N/A,,,,59.411,11/01/2011 07:00:00 AM +0000
"Funai Corporation, Inc.",Magnavox,LCD Color TV,32MV402X/F7,Television (TV),LCD,32,424,1366 x 768,No,No,31.3,53,0.292,1,224,265,N/A,,,,59.147,12/05/2011 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NT-1304,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LED1612D,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NTD-1552,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TE-1982B,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LED2211,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LED1911,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LED1611,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LCD1311,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
